,words,pos,dep,stop,likenum,nounchunk,cem,label
0,Synthesis,1,ROOT,0,0,0,0,0
1,of,0,prep,1,0,0,0,0
2,Co−P,2,compound,0,0,0,0,0
3,Nanocomposites,0,pobj,0,0,0,0,0
5,Co−P,0,compound,0,0,0,0,0
6,nanocomposites,1,nsubjpass,0,0,0,0,0
7,were,4,auxpass,1,0,0,0,0
8,fabricated,4,ROOT,0,0,0,0,0
9,following,4,prep,0,0,0,0,0
10,the,0,det,1,0,0,0,0
11,previous,3,amod,0,0,0,0,0
12,literature,1,pobj,0,0,0,0,0
13,with,0,prep,1,0,0,0,0
14,slight,3,amod,0,0,0,0,0
15,modiﬁcations,1,pobj,0,0,0,0,0
17,In,0,prep,0,0,0,0,0
18,detail,1,pobj,0,0,0,0,0
20,1.2,0,nummod,0,1,0,0,0
21,mmol,1,nsubjpass,0,0,0,0,0
22,of,0,prep,1,0,0,0,0
23,Co(ac)2,1,pobj,0,0,0,0,0
24,was,4,auxpass,1,0,0,0,0
25,mixed,3,ROOT,0,0,0,0,0
26,with,0,prep,1,0,0,0,0
27,2.4,0,nummod,0,1,0,0,0
28,mmol,1,pobj,0,0,0,0,0
29,of,0,prep,1,0,0,0,0
30,TPP,2,pobj,0,0,0,0,0
31,and,0,cc,1,0,0,0,0
32,21,0,nummod,0,1,0,0,0
33,mL,1,conj,0,0,0,0,0
34,of,0,prep,1,0,0,0,0
35,OM,2,pobj,0,0,0,0,0
36,in,0,prep,1,0,0,0,0
37,a,0,quantmod,1,0,0,0,0
38,100,0,advmod,0,1,0,0,0
39,mL,2,quantmod,0,0,0,0,0
40,three,0,nummod,1,1,0,0,0
41,-,0,punct,0,0,0,0,0
42,necked,3,amod,0,0,0,0,0
43,ﬂask,1,pobj,0,0,0,0,0
45,The,0,det,0,0,0,0,0
46,mixture,1,nsubjpass,0,0,0,0,0
47,was,4,auxpass,1,0,0,0,0
48,heated,3,ROOT,0,0,0,0,0
49,to,0,prep,1,0,0,0,0
50,110,0,nummod,0,1,0,0,0
51,°C,1,compound,0,0,0,0,0
52,for,0,prep,1,0,0,0,0
53,30,0,nummod,0,1,0,0,0
54,min,1,pobj,0,0,0,0,0
55,under,0,prep,1,0,0,0,0
56,an,0,det,1,0,0,0,0
57,argon,1,compound,0,0,0,0,0
58,ﬂow,1,pobj,0,0,0,0,0
59,to,0,aux,1,0,0,0,0
60,exclude,4,advcl,0,0,0,0,0
61,the,0,det,1,0,0,0,0
62,water,1,dobj,0,0,0,0,0
63,as,0,advmod,1,0,0,0,0
64,well,0,advmod,1,0,0,0,0
65,as,0,cc,1,0,0,0,0
66,oxygen,1,conj,0,0,0,0,0
68,and,0,cc,1,0,0,0,0
69,then,0,advmod,1,0,0,0,0
70,heated,4,conj,0,0,0,0,0
71,up,0,quantmod,1,0,0,0,0
72,to,0,quantmod,1,0,0,0,0
73,290,0,nummod,0,1,0,0,0
74,°C,1,compound,0,0,0,0,0
75,for,0,prep,1,0,0,0,0
76,3,0,nummod,0,1,0,0,0
77,h.,4,pobj,0,0,0,0,0
78,Co−P,0,compound,0,0,0,0,0
79,nanocomposites,1,nsubjpass,0,0,0,0,0
80,were,4,auxpass,1,0,0,0,0
81,obtained,4,ROOT,0,0,0,0,0
82,after,0,prep,1,0,0,0,0
83,centrifugation,1,pobj,0,0,0,0,0
84,of,0,prep,1,0,0,0,0
85,the,0,det,1,0,0,0,0
86,black,3,amod,0,0,0,0,0
87,solution,1,pobj,0,0,0,0,0
88,while,0,mark,1,0,0,0,0
89,it,0,nsubjpass,1,0,0,0,0
90,was,4,auxpass,1,0,0,0,0
91,cooled,4,advcl,0,0,0,0,0
92,down,0,prt,1,0,0,0,0
93,to,0,prep,1,0,0,0,0
94,room,1,compound,0,0,0,0,0
95,temperature,1,pobj,0,0,0,0,0
97,Then,0,advmod,0,0,0,0,0
98,Co−P,0,compound,0,0,0,0,0
99,nanocomposites,1,nsubjpass,0,0,0,0,0
100,were,4,auxpass,1,0,0,0,0
101,washed,4,ROOT,0,0,0,0,0
102,with,0,prep,1,0,0,0,0
103,a,0,det,1,0,0,0,0
104,mixed,3,amod,0,0,0,0,0
105,solution,1,pobj,0,0,0,0,0
106,of,0,prep,1,0,0,0,0
107,cyclohexane,1,pobj,0,0,0,0,0
109,acetone,1,conj,0,0,0,0,0
111,and,0,cc,1,0,0,0,0
112,ethanol,4,conj,0,0,0,0,0
113,several,3,amod,1,0,0,0,0
114,times,1,npadvmod,0,0,0,0,0
115,and,0,cc,1,0,0,0,0
116,dispersed,4,conj,0,0,0,0,0
117,in,0,prep,1,0,0,0,0
118,30,0,nummod,0,1,0,0,0
119,mL,1,pobj,0,0,0,0,0
120,of,0,prep,1,0,0,0,0
121,cyclohexane,1,pobj,0,0,0,0,0
123,"
",0,,0,0,0,0,0
124,Catalyst,2,compound,0,0,0,0,0
125,Synthesis,2,ROOT,0,0,0,0,0
127,ZnFe2O4,2,nsubjpass,0,0,0,0,0
128,was,4,auxpass,1,0,0,0,0
129,prepared,4,ROOT,0,0,0,0,0
130,according,4,prep,0,0,0,0,0
131,to,0,prep,1,0,0,0,0
132,the,0,det,1,0,0,0,0
133,previously,0,advmod,0,0,0,0,0
134,reported,4,amod,0,0,0,0,0
135,method,1,pobj,0,0,0,0,0
137,CuOx,1,npadvmod,0,0,0,0,0
138,-,0,punct,0,0,0,0,0
139,decorated,4,amod,0,0,0,0,0
140,ZnFe2O4,2,nsubjpass,0,0,0,0,0
141,was,4,auxpass,1,0,0,0,0
142,prepared,4,ROOT,0,0,0,0,0
143,by,0,prep,1,0,0,0,0
144,replacing,4,pcomp,0,0,0,0,0
145,some,0,dobj,1,0,0,0,0
146,of,0,prep,1,0,0,0,0
147,the,0,det,1,0,0,0,0
148,Zn,2,compound,0,0,0,0,0
149,ions,1,pobj,0,0,0,0,0
150,with,0,prep,1,0,0,0,0
151,Cu,2,compound,0,0,0,0,0
152,ions,1,pobj,0,0,0,0,0
154,All,0,nsubjpass,0,0,0,0,0
155,of,0,prep,1,0,0,0,0
156,the,0,det,1,0,0,0,0
157,analytic,3,amod,0,0,0,0,0
158,reagents,1,pobj,0,0,0,0,0
159,were,4,auxpass,1,0,0,0,0
160,dissolved,4,ROOT,0,0,0,0,0
161,with,0,prep,1,0,0,0,0
162,deionized,3,amod,0,0,0,0,0
163,water,1,pobj,0,0,0,0,0
165,Typically,0,advmod,0,0,0,0,0
167,a,0,det,1,0,0,0,0
168,NaBH4,1,compound,0,0,0,0,0
169,solution,1,nsubj,0,0,0,0,0
170,was,4,ROOT,1,0,0,0,0
171,dropwise,1,attr,0,0,0,0,0
172,added,4,acl,0,0,0,0,0
173,to,0,prep,1,0,0,0,0
174,a,0,det,1,0,0,0,0
175,mixed,3,amod,0,0,0,0,0
176,solution,1,pobj,0,0,0,0,0
177,of,0,prep,1,0,0,0,0
178,Fe(NO3)3,2,pobj,0,0,0,0,0
180,Cu(NO3)2,2,conj,0,0,0,0,0
182,and,0,cc,1,0,0,0,0
183,Zn(NO3)2,0,conj,0,0,0,0,0
186,Fe3+]/[NaBH4,2,parataxis,0,0,0,0,0
188,=,0,punct,0,0,0,0,0
189,1:2,0,npadvmod,0,0,0,0,0
192,After,0,prep,0,0,0,0,0
193,stirring,4,pcomp,0,0,0,0,0
194,for,0,prep,1,0,0,0,0
195,1,0,nummod,0,1,0,0,0
196,h,1,pobj,0,0,0,0,0
198,the,0,det,1,0,0,0,0
199,mixture,1,nsubjpass,0,0,0,0,0
200,was,4,auxpass,1,0,0,0,0
201,heated,4,ROOT,0,0,0,0,0
202,at,0,prep,1,0,0,0,0
203,120,0,nummod,0,1,0,0,0
204,°C,1,compound,0,0,0,0,0
205,for,0,prep,1,0,0,0,0
206,12,0,nummod,0,1,0,0,0
207,h,1,pobj,0,0,0,0,0
208,in,0,prep,1,0,0,0,0
209,an,0,det,1,0,0,0,0
210,autoclave,1,amod,0,0,0,0,0
211,tube,1,pobj,0,0,0,0,0
213,The,0,det,0,0,0,0,0
214,solid,3,amod,0,0,0,0,0
215,product,1,nsubjpass,0,0,0,0,0
216,was,4,auxpass,1,0,0,0,0
217,washed,4,ROOT,0,0,0,0,0
218,with,0,prep,1,0,0,0,0
219,deionized,3,amod,0,0,0,0,0
220,water,1,pobj,0,0,0,0,0
221,and,0,cc,1,0,0,0,0
222,ﬁnally,0,advmod,0,0,0,0,0
223,dried,4,conj,0,0,0,0,0
224,at,0,prep,1,0,0,0,0
225,60,0,nummod,0,1,0,0,0
226,°C,1,compound,0,0,0,0,0
227,overnight,0,advmod,0,0,0,0,0
229,The,0,det,0,0,0,0,0
230,samples,1,nsubj,0,0,0,0,0
231,prepared,4,ROOT,0,0,0,0,0
232,with,0,prep,1,0,0,0,0
233,different,3,amod,0,0,0,0,0
234,Cu,2,nmod,0,0,0,0,0
235,/,0,punct,0,0,0,0,0
236,Zn,2,compound,0,0,0,0,0
237,mole,1,compound,0,0,0,0,0
238,ratios,1,pobj,0,0,0,0,0
240,1:9,0,appos,0,0,0,0,0
242,3:7,0,conj,0,0,0,0,0
244,5:5,0,conj,0,0,0,0,0
246,and,0,cc,1,0,0,0,0
247,7:3,0,nsubjpass,0,0,0,0,0
249,were,4,auxpass,1,0,0,0,0
250,designated,4,conj,0,0,0,0,0
251,as,0,prep,1,0,0,0,0
252,ZnFe2O4−Cu1,2,pobj,0,0,0,0,0
254,ZnFe2O4−Cu3,2,conj,0,0,0,0,0
256,ZnFe2O4−Cu5,2,conj,0,0,0,0,0
258,and,0,cc,1,0,0,0,0
259,ZnFe2O4−Cu7,2,conj,0,0,0,0,0
261,As,0,prep,0,0,0,0,0
262,a,0,det,1,0,0,0,0
263,reference,1,pobj,0,0,0,0,0
265,Cu−Fe,1,nmod,0,0,0,0,0
266,composite,3,amod,0,0,0,0,0
267,oxide,1,nsubjpass,0,0,0,0,0
269,designated,4,acl,0,0,0,0,0
270,as,0,prep,1,0,0,0,0
271,Cu−Fe−O,1,pobj,0,0,0,0,0
273,was,4,auxpass,1,0,0,0,0
274,prepared,4,ROOT,0,0,0,0,0
275,in,0,prep,1,0,0,0,0
276,the,0,det,1,0,0,0,0
277,absence,1,pobj,0,0,0,0,0
278,of,0,prep,1,0,0,0,0
279,Zn(NO3)2,2,pobj,0,0,0,0,0
282,Cu2+]/[Fe3,1,appos,0,0,0,0,0
283,+,0,cc,0,0,0,0,0
285,=,0,punct,0,0,0,0,0
286,1:2,0,npadvmod,0,0,0,0,0
288,"
",0,,0,0,0,0,0
289,In,0,prep,0,0,0,0,0
290,a,0,det,1,0,0,0,0
291,typical,3,amod,0,0,0,0,0
292,synthetic,3,amod,0,0,0,0,0
293,procedure,1,pobj,0,0,0,0,0
295,the,0,det,1,0,0,0,0
296,composite,3,amod,0,0,0,0,0
297,microspheres,1,nsubjpass,0,0,0,0,0
298,of,0,prep,1,0,0,0,0
299,pyrite,1,pobj,0,0,0,0,0
300,and,0,cc,1,0,0,0,0
301,polyvinylpyrrolidone,1,conj,0,0,0,0,0
303,PVP,2,appos,0,0,0,0,0
305,were,4,auxpass,1,0,0,0,0
306,ﬁrst,0,advmod,0,0,0,0,0
307,synthesized,4,ROOT,0,0,0,0,0
309,brieﬂy,3,conj,0,0,0,0,0
311,0.556,0,nummod,0,1,0,0,0
312,g,1,nsubjpass,0,0,0,0,0
313,of,0,prep,1,0,0,0,0
314,FeSO4·7H2O,2,pobj,0,0,0,0,0
315,and,0,cc,1,0,0,0,0
316,0.6,0,nummod,0,1,0,0,0
317,g,1,conj,0,0,0,0,0
318,of,0,prep,1,0,0,0,0
319,PVP,2,pobj,0,0,0,0,0
320,-,0,punct,0,0,0,0,0
321,K30,2,appos,0,0,0,0,0
322,were,4,auxpass,1,0,0,0,0
323,dissolved,4,conj,0,0,0,0,0
324,in,0,prep,1,0,0,0,0
325,20,0,nummod,0,1,0,0,0
326,mL,1,pobj,0,0,0,0,0
327,of,0,prep,1,0,0,0,0
328,ethylene,1,compound,0,0,0,0,0
329,glycol,1,pobj,0,0,0,0,0
330,in,0,prep,1,0,0,0,0
331,a,0,det,1,0,0,0,0
332,100,0,nummod,0,1,0,0,0
333,mL,3,nmod,0,0,0,0,0
334,round,0,advmod,0,0,0,0,0
335,-,0,punct,0,0,0,0,0
336,bottomed,4,amod,0,0,0,0,0
337,ﬂask,1,pobj,0,0,0,0,0
339,Then,0,advmod,0,0,0,0,0
340,0.128,0,nummod,0,1,0,0,0
341,g,1,nsubjpass,0,0,0,0,0
342,of,0,prep,1,0,0,0,0
343,S,2,compound,0,0,0,0,0
344,powder,1,pobj,0,0,0,0,0
345,was,4,auxpass,1,0,0,0,0
346,dispersed,4,ROOT,0,0,0,0,0
347,in,0,prep,1,0,0,0,0
348,the,0,det,1,0,0,0,0
349,solution,1,pobj,0,0,0,0,0
350,by,0,prep,1,0,0,0,0
351,ultrasonication,1,pobj,0,0,0,0,0
352,for,0,prep,1,0,0,0,0
353,a,0,det,1,0,0,0,0
354,few,3,amod,1,0,0,0,0
355,minutes,1,pobj,0,0,0,0,0
357,The,0,det,0,0,0,0,0
358,round,0,advmod,0,0,0,0,0
359,-,0,punct,0,0,0,0,0
360,bottomed,4,amod,0,0,0,0,0
361,ﬂask,1,nsubjpass,0,0,0,0,0
362,was,4,auxpass,1,0,0,0,0
363,equipped,4,ROOT,0,0,0,0,0
364,on,0,prep,1,0,0,0,0
365,the,0,det,1,0,0,0,0
366,microwave,1,compound,0,0,0,0,0
367,reactor,1,pobj,0,0,0,0,0
368,for,0,prep,1,0,0,0,0
369,reaction,1,pobj,0,0,0,0,0
370,of,0,prep,1,0,0,0,0
371,30,0,nummod,0,1,0,0,0
372,min,1,pobj,0,0,0,0,0
373,under,0,prep,1,0,0,0,0
374,nitrogen,1,compound,0,0,0,0,0
375,ﬂow,1,pobj,0,0,0,0,0
376,at,0,prep,1,0,0,0,0
377,80,0,nummod,0,1,0,0,0
379,of,0,prep,1,0,0,0,0
380,the,0,det,1,0,0,0,0
381,full,3,amod,1,0,0,0,0
382,power,1,pobj,0,0,0,0,0
384,and,0,cc,1,0,0,0,0
385,a,0,det,1,0,0,0,0
386,black,3,amod,0,0,0,0,0
387,precipitate,1,nsubjpass,0,0,0,0,0
388,was,4,auxpass,1,0,0,0,0
389,obtained,4,conj,0,0,0,0,0
391,The,0,det,0,0,0,0,0
